,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
7460142,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-17,,,,,19.0,
7460143,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-18,,,,,22.0,
7460144,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-19,,,,,15.0,
7460145,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-21,,,,,8.0,
7460146,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-22,,,,,-43.0,
7460147,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-23,,,,,-3.0,
7460148,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-24,,,,,-16.0,
7460149,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-25,,,,,-70.0,
7460150,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-26,,,,,-37.0,
7460151,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-28,,,,,-10.0,
7460152,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-29,,,,,-4.0,
7460153,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-30,,,,,-7.0,
7460154,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2020-12-31,,,,,-12.0,
7460155,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-01,,,,,-65.0,
7460156,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-02,,,,,6.0,
7460157,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-04,,,,,6.0,
7460158,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-05,,,,,-36.0,
7460159,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-06,,,,,-34.0,
7460160,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-07,,,,,-32.0,
